gene_names,iBAQ_avg
H4/A,9.440593333
HSPA1,9.170249333
H2BFB,9.160760667
RPS27A,9.029635667
H2AFC,9.025597
EEF1A,9.010849
PAGA,8.986065667
CYPA,8.974936333
H3F2,8.960217
TUBB2C,8.955381
CDABP0047,8.946724333
D11S2243E,8.914056667
HSP90AB1,8.911852667
ENO1,8.876828667
HNRNPA2B1,8.819656667
TPI,8.809143
PFN1,8.798695
EIF5A,8.797325333
OK/SW-cl.83,8.791244667
RPS12,8.791122
CKB,8.785943333
HSC70,8.785876333
RPS20,8.767120333
LDHB,8.759570667
H1F2,8.742858333
ALDA,8.741198333
OIP3,8.726936667
ARA24,8.726668667
CFL,8.7235
RPL23A,8.715857333
HMG1,8.708957667
YWHAE,8.704947667
PRO2640,8.698782
NPM,8.690892667
RPL27,8.689233667
RPL30,8.685587667
VIM,8.668900333
EEF2,8.659748667
RPS28,8.651294
HNRNPA1,8.644684
AOP2,8.627491
HSP60,8.621644667
YWHAZ,8.617072333
HNRNPH1,8.613933667
OK/SW-cl.26,8.602791667
LAMBR,8.586778333
RPL18,8.585428
RPL22,8.578732667
RPS11,8.577671
HSP90A,8.574308
FTE1,8.566854333
SMT3B,8.564022
HSPE1,8.557097667
DDX2A,8.55646
CCG2,8.550318
CDABP0006,8.543861
LDHA,8.543734
hCG_2001850,8.541361333
HNRNPK,8.534572333
TRDX,8.532575333
RP11-422P24.3-002,8.532437
RPL7,8.527584
GLIF,8.526198
RPS16,8.525319
OK/SW-cl.32,8.523316
RPS5,8.523043667
EC45,8.519916667
H2BFQ,8.519681333
RPL12,8.513843667
CALM,8.506259667
RPL7A,8.504386667
NKEFB,8.500299333
RPL6,8.495620333
MSTP030,8.490981
NEDD6,8.488734333
GNB2L1,8.476421
OK/SW-cl.82,8.474822667
MIG10,8.474066
RPS9,8.469105333
RPL19,8.465666
RPL26,8.465188667
SET,8.462762667
BBC1,8.461900333
P23,8.461257
RPS2,8.461075333
RPL1,8.460862667
PBP,8.459405
RPL35,8.455771
RPL38,8.450237333
RPL23,8.444698667
AUF1,8.444329
RPL24,8.436606667
CCT3,8.434092333
HNRNPU,8.433806333
HNRNPL,8.428909333
RPS26,8.428114333
RPS7,8.425741333
RPLP1,8.42501
RPS13,8.419561333
CCT6,8.418836333
HNRNPA3,8.417027667
RPL32,8.415231
HNRNPC,8.410625667
RPL8,8.409534333
RPL36,8.408387667
MDH2,8.405276333
ATP5B,8.404783333
RPL31,8.402206667
C21orf112,8.400246
DAAP-285E11.4-003,8.398784667
FAEES3,8.39654
ANP32A,8.394937333
EBP1,8.393533
UCHL1,8.392138333
ANT2,8.390556333
RPS17,8.389242333
CCT1,8.388123333
GRP78,8.383519333
SOD1,8.382889333
DBI,8.382361667
CYPB,8.376542
TBCA,8.375734667
OK/SW-cl.103,8.373302333
SNRPD1,8.369256667
RPLP0,8.369154667
ERH,8.366514
RPL27A,8.365657
hCG_20560,8.364211333
RPL14,8.364022667
RPS25,8.363457667
AHCY,8.362921667
CBX3,8.352682
RPS24,8.351681333
NCL,8.346631
EEF1G,8.346625
UBCE7,8.346585333
ARF1,8.341927
CST6,8.340327667
CCT5,8.337673
CA2,8.3368
RPS23,8.336331
RPL13A,8.333087333
D6S218E,8.322303333
ADPRT,8.317540333
RBAP46,8.317417
RPL29,8.312098
CACYBP,8.308886667
EEF1B,8.307685667
IOPPP,8.306179667
RPL11,8.304670333
NONO,8.299607
99D8.1,8.298521333
OK/SW-cl.2,8.294981667
PARK7,8.294332
C1QBP,8.286059
DDX5,8.285159
FABP5,8.283548667
PPP1A,8.281126
GLO1,8.276602667
RPL34,8.275516333
PGDH3,8.273526333
DRBF,8.270997333
RANBP1,8.269234
CDABP0035,8.267915667
HIST2H3PS2,8.264309667
RPL21,8.262872
CGI-55,8.257118
ASF,8.256495667
EIF1,8.250781333
SNRPD1,8.247848333
HMG2,8.245603667
PRDX4,8.245291
HSPC114,8.242120667
RPS19,8.241873
HSPC,8.240759333
TUFM,8.238479
AOP1,8.234578
RPS21,8.234331
KAP1,8.228042333
G22P1,8.223964667
A1S9T,8.223828333
CCT4,8.222426
RPL17,8.221934333
TKT,8.220087667
EIF3A,8.217076333
RAB10,8.216586667
CNIH4,8.214867333
PSF,8.210581333
SSB,8.208531
RPL10,8.208229333
HINT,8.208045667
PC4,8.206346333
PCNA,8.205274
ATP5A,8.20482
COII,8.204171
STIP1,8.203588
CCT7,8.201066667
RPL18A,8.200638
PSMA5,8.194279667
NDUFA4,8.182344667
YWHAB,8.18137
GRP75,8.180752
RPL28,8.179719
GRP94,8.175179
BAF,8.171566667
GDI2,8.171201333
FUS,8.170691333
RPL37A,8.168528333
FAU,8.166013
BOLA2,8.163719667
IMPD2,8.160198
TUBB2,8.159319667
PRMT1,8.156713333
PROS27,8.156131333
MDH1,8.152685333
SFRS7,8.152292667
SNRPD3,8.149836333
INO80H,8.149447333
LAP18,8.149172667
PBSCG,8.148884
LMN2,8.143119
HPRT,8.139453333
DDX39,8.137563667
ARHGDIA,8.133959667
HNRNPM,8.130785333
ILF2,8.127286667
HNRPQ,8.127105333
FKBP4,8.126544667
KHDRBS1,8.124812333
CALR,8.123879333
DDX9,8.122989667
ALY,8.122613
FHL1,8.111949
RPS29,8.106306
GIG33,8.105779333
SRP9,8.104275333
PDCD5,8.103457333
APE,8.102711
VDAC2,8.102223333
BLU,8.101774333
NTF2,8.094554667
CBX5,8.091255
NMP200,8.087363333
VCP,8.086021333
GPI,8.082644667
TAL,8.082625333
FUBP2,8.081875
HNRNPF,8.080898667
FAM10A1,8.080082
SSBP,8.079214
ADK2,8.077771667
RIG,8.077483
ERP57,8.073732333
PPP2R1A,8.07296
VDAC,8.070323
PHB,8.06965
H2AFZ,8.069017333
CGI-46,8.068319333
HPR6.6,8.066001667
FAS,8.065007667
PCBP1,8.063739667
PSC5,8.063626
COX4,8.063006
NAP1L1,8.06297
ATP5H,8.062819667
TCEB1,8.061246333
G19P1,8.061141
HDGF,8.060435667
DBX,8.059353333
PCMT1,8.058985333
GSTO1,8.058682667
CYC,8.055228667
NSEP1,8.053690667
HNRPG,8.052673333
MYL6,8.051332
ACTN4,8.048461667
YWHAQ,8.048073
DKFZp781N1372,8.047643667
APG2,8.040577333
ACTC,8.034718667
HMG17,8.032861333
OAT,8.032233
BAP,8.027651333
MAWD,8.025068667
MATR3,8.021995
NUDC,8.018623
AKR1B1,8.016547333
ANX5,8.012388
MTHFC,8.011699333
BCAP31,8.010122667
COX7A2,8.009698667
NASP,8.009386333
CS,8.006026
hCG_1778969,7.999340667
KPNB1,7.998524667
PBSCF,7.998374667
FKBP25,7.997725333
SHMT2,7.989238333
SPS1,7.987635333
PAB1,7.985965333
SEC61B,7.985472
H1F0,7.983001
HC9,7.979141333
EIF3I,7.976983
SFRS2,7.976965667
CDA03,7.976894
UBC12,7.972984667
RAB7,7.97241
H2AFY,7.970017333
GNB1,7.967848
MTPN,7.96215
U2AF2,7.962126667
AHSA1,7.961952333
RP11-290D2.1-004,7.958723667
ACAT2,7.958344667
DDX21,7.95626
PLS3,7.955088
ETFA,7.954799333
CBR,7.952418333
LMPX,7.951565333
CANX,7.951096
TIM13B,7.951092667
DDX17,7.949773333
BIND1,7.948912333
CLH17,7.947934
ECHS1,7.947232
ETFB,7.947214
RAB1B,7.945031333
NDUFAB1,7.944112667
SSR4,7.942651
RNPU1Z,7.939376667
REPA3,7.938142
HNRNPR,7.936813333
GIG15,7.936716667
CCDC72,7.935701667
ABBP1,7.934198333
DDX48,7.933394333
BSG,7.930738333
ELAVL1,7.929212333
PSMB3,7.928838333
TPM3,7.928539667
hCG_2017557,7.924799
KIAA1470,7.92422
EIF2G,7.922649333
C14orf32,7.922025
ANX2,7.921446
ERBA2L,7.920687333
DUT,7.918763667
PROS26,7.917314333
ATIC,7.916085
RCN,7.910531
CGI-120,7.910502333
ERAB,7.910401667
SRP14,7.907211
BAT1,7.90579
PDIA6,7.904785333
COX6C,7.903566667
OK/SW-cl.11,7.899505333
MAPRE1,7.899123667
TARS,7.898713667
BUB3,7.897256333
U2AF1,7.896692333
C22orf28,7.894792
HC8,7.893521
C6orf28,7.891396333
ACP1,7.889227667
MLN70,7.889116
EIF3B,7.888660667
RBM14,7.887185333
CHORDC1,7.885819667
ATOX1,7.884451333
CTPS,7.884301667
CDKN2,7.881488
G22P2,7.874826667
CAS,7.873247667
COD,7.873071
FLN,7.868591
HCVFTP2,7.867426333
RBAP48,7.861372667
CRDBP,7.859378333
APRT,7.857937333
G3BP,7.857724667
NUDT5,7.853658667
PSMC3,7.853477667
MYH9,7.853308333
LTA4,7.851028667
LSM5,7.850751333
FKBP1A,7.850566667
C19orf1,7.850007667
DBP1,7.848800667
GOT2,7.848605333
HSP105,7.847420333
GART,7.844306333
CAPZA1,7.843727
G2AN,7.843417
CBP1,7.843353667
PFDN3,7.843126333
SFRS6,7.842062667
PSMD11,7.840299
AMS2,7.839787667
PPP2CB,7.838851333
C1orf33,7.837340667
AOS1,7.836837333
EEF1D,7.836473667
C6orf115,7.836435
RAB5C,7.836147
SGT,7.83452
NAP1L4,7.832248333
SFRS3,7.831929333
PGD,7.831056667
LAP2,7.830783667
ACTR3,7.830423667
hCG_1784554,7.830247333
FEN1,7.828908667
CDC2,7.828836667
HMG2A,7.825577
LRRC59,7.825512667
CDC37,7.823425
KPNA2,7.823373
RPS10,7.823229667
CAP,7.822996667
MAGOH,7.8207
MSN,7.818402333
PGLS,7.817246333
ENSA,7.816347333
PRPS1,7.816033667
ATP1B3,7.816003
EIF1A,7.814301667
HNRNPH3,7.812562333
EIF2A,7.812226333
LA16c-358B7.1-006,7.812001667
TMED10,7.810946
BM28,7.810368333
COX5B,7.810202667
RPN1,7.806862333
CAPZB,7.805694
RCC1,7.804156333
TOM22,7.80152
PSMC5,7.796427
NP,7.793151
MCB1,7.792953333
CTA-216E10.8-008,7.791745
OK/SW-cl.48,7.790945
PSMB2,7.790486667
PIN4,7.790019333
RAB14,7.787618667
ACLY,7.787005
HSPC120,7.786891667
SFXN1,7.786865333
